sketch1	sketch2	jaccard_score	intersection	size1	size2	union
data/Bos_taurus.ARS-UCD1.3.dna.toplevel.maxgeom.sketch	data/Canis_lupus_familiaris.ROS_Cfam_1.0.dna.toplevel.maxgeom.sketch	0.00380952	0	2532	2521	0
data/Bos_taurus.ARS-UCD1.3.dna.toplevel.maxgeom.sketch	data/Equus_caballus.EquCab3.0.dna.toplevel.maxgeom.sketch	0.00417933	0	2532	2538	0
data/Bos_taurus.ARS-UCD1.3.dna.toplevel.maxgeom.sketch	data/Felis_catus.Felis_catus_9.0.dna_rm.toplevel.maxgeom.sketch	0.0030722	0	2532	2456	0
data/Bos_taurus.ARS-UCD1.3.dna.toplevel.maxgeom.sketch	data/Homo_sapiens.GRCh38.dna.toplevel.maxgeom.sketch	0.00227359	0	2532	2552	0
data/Bos_taurus.ARS-UCD1.3.dna.toplevel.maxgeom.sketch	data/Monodelphis_domestica.ASM229v1.dna.toplevel.maxgeom.sketch	0.00189107	0	2532	2577	0
data/Bos_taurus.ARS-UCD1.3.dna.toplevel.maxgeom.sketch	data/Mus_musculus.GRCm39.dna_rm.toplevel.maxgeom.sketch	0.00115518	0	2532	2440	0
data/Bos_taurus.ARS-UCD1.3.dna.toplevel.maxgeom.sketch	data/Pan_troglodytes.Pan_tro_3.0.dna.toplevel.maxgeom.sketch	0.00265051	0	2532	2563	0
data/Bos_taurus.ARS-UCD1.3.dna.toplevel.maxgeom.sketch	data/Rattus_norvegicus.mRatBN7.2.dna.toplevel.maxgeom.sketch	0.0011446	0	2532	2529	0
data/Bos_taurus.ARS-UCD1.3.dna.toplevel.maxgeom.sketch	data/Sus_scrofa.Sscrofa11.1.dna.toplevel.maxgeom.sketch	0.00494109	0	2532	2529	0
data/Canis_lupus_familiaris.ROS_Cfam_1.0.dna.toplevel.maxgeom.sketch	data/Equus_caballus.EquCab3.0.dna.toplevel.maxgeom.sketch	0.00649351	0	2521	2538	0
data/Canis_lupus_familiaris.ROS_Cfam_1.0.dna.toplevel.maxgeom.sketch	data/Felis_catus.Felis_catus_9.0.dna_rm.toplevel.maxgeom.sketch	0.0111796	0	2521	2456	0
